value	label	color	radlex_id	radlex_structure_id	cca_atlas_id	notes
0	background	"rgba(0,0,0,0)"				
2	white matter of left cerebral hemisphere	"rgb(245,245,245)"	RID16998	RID16998		
3	skin	"rgb(225,190,150)"				
4	left lateral ventricle	"rgb(90,105,215)"	RID13789	RID13739		
5	temporal horn of left lateral ventricle	"rgb(90,170,215)"	RID13803	RID13803		
7	white matter of left hemisphere of cerebellum	"rgb(180,210,120)"	RID17313	RID17313		
8	left cerebellar cortex	"rgb(230,150,35)"	RID15574	RID15574		
10	left thalamus	"rgb(0,120,15)"	RID13496	RID13496		
11	left caudate nucleus	"rgb(120,185,220)"	RID21020	RID21020		
12	left putamen	"rgb(175,20,130)"	RID21015	RID21015		
13	left globus pallidus pars externa	"rgb(10,50,255)"	RID18435	RID18435		
15	fourth ventricle	"rgb(90,105,215)"	RID7147	RID7147		
17	left hippocampus	"rgb(220,216,20)"	RID26565	RID26565		
18	left amygdala	"rgb(105,255,255)"	RID15698	RID15698		
19	cerebral aqueduct	"rgb(55,225,218)"	RID7171	RID7171		
24	third ventricle	"rgb(90,105,215)"	RID7137	RID7137		
25	left globus pallidus pars interna	"rgb(255,165,0)"	RID18438	RID18438		
26	left nucleus accumbens	"rgb(165,0,255)"	RID21022	RID21022		
27	left middle cerebellar peduncle	"rgb(0,255,130)"	RID18080	RID18080		
28	unsegmented region of left hypothalamus	"rgb(165,40,40)"	RID6639	RID6639	CCAX-RID6639-L-U	
31	choroid plexus of left cerebral hemisphere	"rgb(90,105,215)"	RID27793	RID27793		
34	choroid plexus of left cerebral hemisphere	"rgb(120,135,50)"	RID18078	RID18078		
35	unsegmented region of pons	"rgb(50,50,135)"	RID6728	RID6728	CCAX-RID6728-U	
40	unsegmented region of midbrain	"rgb(205,60,80)"	RID6768	RID6768	CCAX-RID6768-U	
41	white matter of right cerebral hemisphere	"rgb(200,225,200)"	RID16997	RID16997		
43	right lateral ventricle	"rgb(90,105,215)"	RID13806	RID13806		
44	temporal horn of right lateral ventricle	"rgb(90,170,215)"	RID13802	RID13802		
46	white matter of right hemisphere of cerebellum	"rgb(180,210,120)"	RID17312	RID17312		
47	right cerebellar cortex	"rgb(230,150,35)"	RID15573	RID15573		
49	right thalamus	"rgb(0,120,15)"	RID13495	RID13495		
50	right caudate nucleus	"rgb(120,185,220)"	RID21019	RID21019		
51	right putamen	"rgb(175,20,130)"	RID21014	RID21014		
52	right globus pallidus pars externa	"rgb(15,50,255)"	RID18434	RID18434		
53	right hippocampus	"rgb(220,215,20)"	RID26564	RID26564		
54	right amygdala	"rgb(105,255,255)"	RID15699	RID15699		
58	right nucleus accumbens	"rgb(255,165,0)"	RID21021	RID21021		
60	unsegmented region of right hypothalamus	"rgb(165,40,40)"	RID6639	RID6639	CCAX-RID6639-R-U	
61	medulla oblongata	"rgb(135,205,235)"	RID6681	RID6681		
63	choroid plexus of right cerebral hemisphere	"rgb(90,105,215)"	RID27792	RID27792		
66	left substantia nigra	"rgb(120,135,50)"	RID20742	RID20742		
71	right substantia nigra	"rgb(120,135,50)"	RID20741	RID20741		
72	pineal body	"rgb(120,190,150)"	RID6576	RID6576		
78	left optic tract	"rgb(255,150,10)"	RID22698	RID22698		
79	left red nucleus	"rgb(255,150,10)"	RID20702	RID20702		
83	right globus pallidus pars interna	"rgb(15,50,255)"	RID18437	RID18437		
84	right red nucleus	"rgb(255,220,185)"	RID20701	RID20701		
85	optic chiasm	"rgb(234,170,30)"	RID6641	RID6641		
96	pellucid septum	"rgb(205,10,125)"	RID6525	RID6525		
100	left mammillothalamic tract	"rgb(125,140,180)"	RID17575	RID17575	CCAX-RID17563-L	
142	anterior commissure	"rgb(220,225,70)"	RID6911	RID6911		
200	right mammillothalamic tract	"rgb(0,50,130)"	RID17574	RID17574	CCAX-RID17563-R	
216	right optic tract	"rgb(255,205,100)"	RID22697	RID22697		
301	left III v	"rgb(31,175,72)"				
302	left IV v	"rgb(214,27,150)"				
303	left V v	"rgb(220,39,44)"				
304	left VI v	"rgb(49,95,178)"				
305	left VIIAf v	"rgb(241,235,27)"				
306	left VIIAt v	"rgb(158,56,161)"				
307	left VIIB v	"rgb(56,120,63)"				
308	left VIIIA v	"rgb(149,75,64)"				
309	left VIIIB v	"rgb(116,64,163)"				
310	left IX v	"rgb(124,139,88)"				
311	left X v	"rgb(245,213,21)"				
312	left III m	"rgb(115,204,130)"				
313	left IV m	"rgb(220,113,174)"				
314	left V m	"rgb(216,106,116)"				
315	left VI m	"rgb(43,169,230)"				
316	left VIIA crusI m	"rgb(237,229,148)"				
317	left VIIA crusII m	"rgb(174,116,152)"				
318	left VIIB m	"rgb(103,164,114)"				
319	left VIIIA m	"rgb(167,123,89)"				
320	left VIIIB m	"rgb(164,123,187)"				
321	left IX m	"rgb(189,199,129)"				
322	left X m	"rgb(243,231,100)"				
323	left V l	"rgb(243,182,191)"				
324	left VI l	"rgb(171,216,143)"				
327	left VIIA crusI l1	"rgb(243,241,133)"				
328	left VIIA crusII l1	"rgb(223,162,214)"				
329	left VIIB l	"rgb(147,210,194)"				
330	left VIIIA l	"rgb(216,190,132)"				
331	left VIIIB l	"rgb(175,176,221)"				
332	left VIIA crusI l2	"rgb(236,245,196)"				
333	left VIIA crusII l2	"rgb(241,216,238)"				
334	right I II v	"rgb(235,63,159)"				
335	right III v	"rgb(31,175,72)"				
336	right IV v	"rgb(214,27,150)"				
337	right V v	"rgb(220,39,44)"				
338	right VI v	"rgb(49,95,178)"				
339	right VIIAf v	"rgb(241,235,27)"				
340	right VIIAt v	"rgb(158,56,161)"				
341	right VIIB v	"rgb(56,120,63)"				
342	right VIIIA v	"rgb(149,75,64)"				
343	right VIIIB v	"rgb(116,64,163)"				
344	right IX v	"rgb(124,139,88)"				
345	right X v	"rgb(245,213,21)"				
346	right III m	"rgb(115,204,130)"				
347	right IV m	"rgb(220,113,174)"				
348	right V m	"rgb(216,106,116)"				
349	right VI m	"rgb(43,169,230)"				
350	right VIIA crusI m	"rgb(237,229,148)"				
351	right VIIA crusII m	"rgb(174,116,152)"				
352	right VIIB m	"rgb(103,164,114)"				
353	right VIIIA m	"rgb(167,123,89)"				
354	right VIIIB m	"rgb(164,123,187)"				
355	right IX m	"rgb(189,199,129)"				
356	right X m	"rgb(243,231,100)"				
357	right V l	"rgb(243,182,191)"				
358	right VI l	"rgb(171,216,143)"				
361	right VIIA crusI l1	"rgb(243,241,133)"				
362	right VIIA crusII l1	"rgb(223,162,214)"				
363	right VIIB l	"rgb(147,210,194)"				
364	right VIIIA l	"rgb(216,190,132)"				
365	right VIIIB l	"rgb(175,176,221)"				
366	right VIIA crusI l2	"rgb(236,245,196)"				
367	right VIIA crusII l2	"rgb(241,216,238)"				
371	left Dentate nucleus	"rgb(100,200,100)"				
373	left FaGE nuclei	"rgb(255,0,0)"				
375	right Dentate nucleus	"rgb(100,200,100)"				
377	right FaGE nuclei	"rgb(255,0,0)"				
380	left anterior superior hypothalamus	"rgb(243,136,62)"				
381	left anterior inferior hypothalamus	"rgb(135,247,4)"				
382	left superior tuberal hypothalamus	"rgb(147,69,18)"				
383	left inferior tuberal hypothalamus	"rgb(4,235,125)"				
384	left posterior superior hypothalamus	"rgb(125,38,205)"				
385	right anterior superior hypothalamus	"rgb(243,136,62)"				
386	right anterior inferior hypothalamus	"rgb(135,247,4)"				
387	right superior tuberal hypothalamus	"rgb(147,69,18)"				
388	right inferior tuberal hypothalamus	"rgb(4,235,125)"				
389	right posterior superior hypothalamus	"rgb(125,38,205)"				
390	right subthalamic nucleus	"rgb(200,25,140)"				
391	left subthalamic nucleus	"rgb(200,25,140)"				
500	right internal medullary lamina	"rgb(200,200,200)"	RID18025	RID18025		
501	left internal medullary lamina	"rgb(200,200,200)"	RID18026	RID18026		
502	right medial geniculate body	"rgb(125,250,20)"	RID20560	RID20560		
503	left medial geniculate body	"rgb(125,250, 20)"	RID20561	RID20561		
504	right lateral geniculate body	"rgb(100,180,255)"	RID20562	RID20562		
505	left lateral geniculate body	"rgb(100,180,255)"	RID20563	RID20563		
506	right pulvinar	"rgb(63,105,225)"	RID20564	RID20564		
507	left pulvinar	"rgb(63,105,225)"	RID20565	RID20565		
508	right anterior thalamic nucleus	"rgb(255,25,130)"	RID20544	RID20544		in the old SPL-BrainAtlas-Colorfile.txtLandRare mislabeled (switched)
509	left anterior thalamic nucleus	"rgb(255,25,130)"	RID20545	RID20545		in the old SPL-BrainAtlas-Colorfile.txtLandRare mislabeled (switched)
510	right dorsomedial thalamic nucleus	"rgb(60,190,130)"	RID20535	RID20535		
511	left dorsomedial thalamic nucleus	"rgb(60,190,130)"	RID20536	RID20536		
512	right centromedian thalamic nucleus	"rgb(190,180,105)"	RID20568	RID20568		
513	left centromedian thalamic nucleus	"rgb(190,180,105)"	RID20569	RID20569		
514	right ventral anterior thalamic nucleus	"rgb(255,213,0)"	RID20929	RID20929		
515	left ventral anterior thalamic nucleus	"rgb(255,213,0)"	RID20930	RID20930		
516	right ventral lateral thalamic nucleus	"rgb(60,180,180)"	RID20931	RID20931		
517	left ventral lateral thalamic nucleus	"rgb(60,180,180)"	RID20932	RID20932		
518	right lateral posterior thalamic nucleus	"rgb(205,130,0)"	RID20927	RID20927		
519	left lateral posterior thalamic nucleus	"rgb(205,130,0)"	RID20928	RID20928		
520	right lateral dorsal thalamic nucleus	"rgb(175,190,220)"	RID20925	RID20925		
521	left lateral dorsal thalamic nucleus	"rgb(175,190,220)"	RID20926	RID20926		
522	right ventral posteromedial thalamic nucleus	"rgb(225,170,105)"	RID20506	RID20506		
523	left ventral posteromedial thalamic nucleus	"rgb(225,170,105)"	RID20507	RID20507		
524	right ventral posterolateral thalamic nucleus	"rgb(230,130,130)"	RID20504	RID20504		
525	left ventral posterolateral thalamic nucleus	"rgb(230,130,130)"	RID20505	RID20505		
1000	unsegmented region of left insula	"rgb(125,5,25)"	RID13871	RID13871	CCAX-RID13871-U	
1001	left superior temporal gyrus (banks of left superior temporal sulcus)	"rgb(25,100,40)"	RID20309	RID13889		
1002	caudal part of left anterior cingulate gyrus	"rgb(125,100,160)"	RID26841	RID26841	CCAX-RID26841-S	
1003	posterior part of left middle frontal gyrus	"rgb(100,25,0)"	RID26835	RID14075		
1005	left cuneus	"rgb(220,20,100)"	RID20356	RID26552		
1006	left ambiens gyrus	"rgb(185,15,10)"	RID26595	RID26595		
1007	left fusiform gyrus	"rgb(180,220,140)"	RID26541	RID26541		
1008	unsegmented region of left inferior parietal lobule	"rgb(180,90,185)"	RID27590	RID14108	CCAX-RID14108-U	
1009	left inferior temporal gyrus	"rgb(180,40,120)"	RID20315	RID13893		
1010	isthmus of left cingulate gyrus	"rgb(140,20,140)"	RID20384	RID14043		
1011	left lateral occipital gyrus	"rgb(20,30,140)"	RID20353	RID13938		
1012	left lateral orbital gyrus	"rgb(35,75,50)"	RID20293	RID13924		
1013	left lingual gyrus	"rgb(225,140,140)"	RID20359	RID26554		
